Quantity,Name,Designator,Footprint,Manufacturer Part,Manufacturer,Supplier,Supplier Part
2,180pF,"C1,C2",603,0603B181K500NT,FH,LCSC,C1598
6,10uF,"C3,C4,C5,C6,C7,C8",603,CL10A106MP8NNNC,SAMSUNG,LCSC,C85713
1,100nF,C9,C0603,CL10B104JB8NNNC,SAMSUNG,LCSC,C24452
1,1uF,C10,C0603,0603F105M160NT,FH,LCSC,C1689
2,SCHOTTKY,"D1,D2",SOD-123_L2.8-W1.8-LS3.7-RD,SS0520-R1-00001,PANJIT International,LCSC,C398783
1,nSMD025-30V,F1,1206,nSMD025-30V,TECHFUSE,LCSC,C70070
1,JST_2MM_MALE,J1,JST-2-SMD,S2B-PH-SM4-TB(LF)(SN),JST,LCSC,C295747
1,RED,LED4,LED0603-R-RD,19-217/R6C-AL1M2VY/3T,EVERLIGHT,LCSC,C72044
1,WS2812B,NEO,LED-SMD_4P-L5.0-W5.0-BL,WS2812B,Worldsemi,LCSC,C114585
1,GREEN,PWR,LED0603-R-RD,19-217/GHC-YR1S2/3T,EVERLIGHT,LCSC,C72043
1,DMG3415U-7,Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,DMG3415U-7,Diodes Incorporated,LCSC,C96616
2,22,"R1,R2",603,RS-03K220JT,FH,LCSC,C96423
2,10K,"R3,R8",603,0603WAF1002T5E,UniOhm,LCSC,C25804
1,150K,R4,603,0603WAF1503T5E,UniOhm,LCSC,C22807
4,1K,"R5,R6,R7,R9",603,0603WAJ0102T5E,UniOhm,LCSC,C25585
1,100,R10,R0603,0603WAJ0101T5E,UniOhm,LCSC,C25201
1,TSA343G00D-250J2,SW1,SW-SMD_L4.0-W2.9-P4.15-EH,TSA343G00D-250J2,BRIGHT,LCSC,C354947
1,SS-3235D-03-L2,SW2,SW-SMD_SS-3235D-03-L2.00,SS-3235D-03-L2,XKB Enterprise,LCSC,C381097
2,BLUE,"TX,RX",LED0603-R-RD,19-217/BHC-ZL1M2RY/3T,EVERLIGHT,LCSC,C72041
1,ATMEGA32U4-AU,U1,QFP-44_L10.0-W10.0-P0.80-LS13.2-BL,ATMEGA32U4-AU,MICROCHIP,LCSC,C44854
1,LP2981-33DBVR,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,LP2981-33DBVR,TI,LCSC,C129997
1,SPI Header 6Pin,U3,SPI HEADER,,,,
1,micro 5P_C77238,USB1,MICRO-USB_MICRO-USB-17,-,LCSC,LCSC,C77238
1,8MHZ,X1,OSC-SMD_L5.0-W3.2,G5308000201080,JGHC,LCSC,C390781
10,hole,"3V3_TAP,GND_TAP,TX_TAP,RX_TAP,SDA_TAP,SCL_TAP,D6/A7/PWM,D9/A9/PWM,D10/A10/PWM,D12/A11",HOLE,GK001,,,
1,JST_2MM_Female,,,PHR-2,JST,LCSC,C157955
2,JST_FEMALE_Crimp,,,SPH-002T-P0.5S,JST,LCSC,C111515
1,LED for Display,,, 99-213UMC/2437860/TR8, Everlight Elec,LCSC,C329181
1,Magnet Piece,,,,,Amazon,
